,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
0,2019S000036,02/01/2019,20:45:00,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES,65B,HORTALEZA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 70 a 74 años,Hombre,3.0,40.469527040748,-3.6441505110673016,N,
1,2019S000045,03/01/2019,10:30:00,"CTRA. DEHESA DE LA VILLA, 1",1,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,2.0,40.458248272061866,-3.7202973298813573,N,
2,2019S000132,03/01/2019,12:45:00,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA,64,VILLA DE VALLECAS,Alcance,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,40.378651041381175,-3.6085743470152982,N,
3,2019S000132,03/01/2019,12:45:00,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA,64,VILLA DE VALLECAS,Alcance,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,14.0,40.378651041381175,-3.6085743470152982,N,
4,2019S000133,03/01/2019,14:30:00,"CALL. FELIPE ALVAREZ, 10",10,VILLA DE VALLECAS,Alcance,Unknown,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,40.381966823091425,-3.623395253603989,N,
5,2019S000306,04/01/2019,17:10:00,"CALL. PRADILLO, 26",26,CHAMARTÍN,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,40.45271646807695,-3.70968295841172,N,
6,2019S000641,04/01/2019,13:35:00,"CALL. CAÑON DEL RIO LOBOS, 7A",7A,MORATALAZ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 65 a 69 años,Hombre,7.0,40.40674927976848,-3.630845489547273,N,
7,2019S000659,01/01/2019,14:00:00,CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ,60,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,40.42925359874686,-3.681075706361299,N,
8,2019S000904,07/01/2019,14:00:00,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO,2,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,40.49131069479958,-3.6861807112313216,N,
9,2019S001678,09/01/2019,12:50:00,"CALL. GRAN VIA, 66",66,CENTRO,Alcance,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,,40.42241343174543,-3.7089446226460665,N,
10,2019S001738,08/01/2019,13:03:00,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE,25,FUENCARRAL-EL PARDO,Caída,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,40.51073679264373,-3.6930214064326363,N,
11,2019S001943,09/01/2019,14:50:00,"CALL. ANTONIO DE LEYVA, 84",84,CARABANCHEL,Colisión lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,40.38772761917421,-3.7168414285383706,N,
12,2019S002373,08/01/2019,20:55:00,"CALL. PUERTO DE LA CRUZ VERDE, 49",49,ARGANZUELA,Atropello a persona,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,14.0,40.385907143611746,-3.68597936994131,N,
13,2019S002373,08/01/2019,20:55:00,"CALL. PUERTO DE LA CRUZ VERDE, 49",49,ARGANZUELA,Atropello a persona,Clear,Bicicleta,Peatón,De 35 a 39 años,Hombre,7.0,40.385907143611746,-3.68597936994131,N,
14,2019S002591,12/01/2019,22:15:00,AVDA. POBLADOS / CALL. SECOYA,109,CARABANCHEL,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,40.37365956494665,-3.732126920018475,N,
15,2019S002594,12/01/2019,22:45:00,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA,0,LATINA,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,40.38922101763178,-3.7689151090724455,N,
16,2019S002704,12/01/2019,13:00:00,"CALL. SANCHIDRIAN, 13A",13A,LATINA,Alcance,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,14.0,40.39552556937891,-3.775590378445104,N,
17,2019S002788,14/01/2019,11:10:00,"CALL. FLORA, 1",1,CENTRO,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,7.0,40.41818679718284,-3.707525512336173,N,
18,2019S002882,10/01/2019,20:30:00,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO,23,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,40.401567603477154,-3.70708621930711,N,
19,2019S003277,14/01/2019,16:30:00,CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ,2,CIUDAD LINEAL,Colisión lateral,Clear,Bicicleta,Conductor,De 50 a 54 años,Mujer,14.0,40.42632138356248,-3.6482224204148466,N,
20,2019S003283,11/01/2019,16:00:00,CALL. GRAN VIA / CALL. SAN BERNARDO,3,CENTRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,14.0,40.419260565024345,-3.698446204557717,N,
21,2019S003306,16/01/2019,9:00:00,AVDA. DAROCA / CALL. NICOLAS SALMERON,1,CIUDAD LINEAL,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,6.0,40.431386379392514,-3.659053522927511,N,
22,2019S003364,12/01/2019,13:03:00,"AVDA. ENSANCHE DE VALLECAS, 44",44,VILLA DE VALLECAS,Colisión fronto-lateral,Unknown,Bicicleta,Conductor,De 15 a 17 años,Mujer,7.0,40.36773329099424,-3.6084596457738867,N,
23,2019S003463,14/01/2019,22:45:00,CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS,9,CHAMBERÍ,Colisión fronto-lateral,,Bicicleta,Conductor,De 25 a 29 años,Hombre,,40.43485354067237,-3.6914676665340345,N,
24,2019S003662,17/01/2019,6:00:00,"CALL. DOCE DE OCTUBRE, 26",26,RETIRO,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,2.0,40.41589201926464,-3.6743595523798422,N,
25,2019S003749,16/01/2019,15:20:00,"PLAZA. CONDE DEL VALLE DE SUCHIL, 3",3,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 55 a 59 años,Mujer,7.0,40.43031997442684,-3.7077910637377727,N,
26,2019S004134,14/01/2019,20:20:00,"PASEO. EL PARDO, 37",37,FUENCARRAL-EL PARDO,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,2.0,40.52688540832171,-3.779717859255874,N,
27,2019S004151,17/01/2019,16:15:00,"CALL. SERRANO, 141",141,CHAMARTÍN,Alcance,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,14.0,40.44433879480805,-3.6859286228622516,N,
28,2019S004271,18/01/2019,18:05:00,"AVDA. FERMINA SEVILLANO, 42",42,SAN BLAS-CANILLEJAS,Colisión frontal,,Bicicleta,Conductor,De 45 a 49 años,Hombre,,40.44309924873188,-3.5714257287748885,S,
29,2019S004528,19/01/2019,21:10:00,PLAZA. INDEPENDENCIA / CALL. ALCALA,1,SALAMANCA,Colisión fronto-lateral,Light rain,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,40.42015043279416,-3.6896444469376672,N,
30,2019S004582,19/01/2019,11:10:00,"CTRA. EL PARDO A FUENCARRAL, 0",0,FUENCARRAL-EL PARDO,Caída,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,2.0,40.5031934421069,-3.713599168069242,N,
31,2019S004601,17/01/2019,19:50:00,CALL. ARENAL / CALL. DONADOS,26,CENTRO,Colisión lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.41778650356679,-3.7082353836130015,N,
32,2019S004769,18/01/2019,7:55:00,"CALL. GENOVA, 2",2,CENTRO,Caída,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,40.427373985650874,-3.695551449868076,N,
33,2019S004939,21/01/2019,16:50:00,"CALL. SAN ENRIQUE DE OSSO, 36",36,HORTALEZA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 10 a 14 años,Hombre,2.0,40.50533629559192,-3.642090105312488,N,
34,2019S005036,24/01/2019,11:15:00,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,250,TETUÁN,Atropello a persona,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,14.0,40.459888180364125,-3.698885434021054,N,
35,2019S005036,24/01/2019,11:15:00,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,250,TETUÁN,Atropello a persona,Clear,Bicicleta,Peatón,De 55 a 59 años,Mujer,7.0,40.459888180364125,-3.698885434021054,N,
36,2019S005062,23/01/2019,15:38:00,"AVDA. ALBUFERA, 149",149,PUENTE DE VALLECAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 65 a 69 años,Hombre,14.0,40.39225843140411,-3.6574486235078605,N,
37,2019S005101,18/01/2019,13:00:00,"CALL. VILLABLANCA, 11",11,VICÁLVARO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 60 a 64 años,Hombre,2.0,40.40879711782436,-3.607137366989301,N,
38,2019S005992,25/01/2019,9:12:00,"CALLE ALFONSO XI , CALLE ALCALA",3,RETIRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.41866411516635,-3.6903699831578303,N,
39,2019S006032,26/01/2019,21:35:00,"CALL. MARIA DE MOLINA, 60",60,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,40.43728221097931,-3.678801908029677,N,
40,2019S006478,28/01/2019,18:00:00,CALL. MENDEZ ALVARO / CALL. TITAN,83,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,14.0,40.394839722176684,-3.6790691768073485,N,
41,2019S006501,27/01/2019,16:15:00,"CALL. ALCALA, 44",44,CENTRO,Atropello a persona,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,40.41855071706027,-3.6960752795155427,N,
42,2019S006501,27/01/2019,16:15:00,"CALL. ALCALA, 44",44,CENTRO,Atropello a persona,Clear,Bicicleta,Peatón,De 25 a 29 años,Mujer,14.0,40.41855071706027,-3.6960752795155427,N,
43,2019S006584,12/01/2019,22:25:00,CALL. GENERAL RICARDOS / GTA. VALLE DE ORO,164,CARABANCHEL,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,40.38873233149122,-3.7316822793310767,N,
44,2019S006649,30/01/2019,11:41:00,"CALL. TOMASA RUIZ, 1",1,CARABANCHEL,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,,40.39623347453129,-3.7106196306900783,N,
45,2019S006655,30/01/2019,13:20:00,"AVDA. CARABANCHEL ALTO, 122",122,CARABANCHEL,Colisión frontal,Clear,Bicicleta,Conductor,De 10 a 14 años,Mujer,1.0,40.36557117868396,-3.7537257912075477,N,
46,2019S007634,24/01/2019,19:58:00,AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC,1,PUENTE DE VALLECAS,Colisión lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,14.0,40.39823495192124,-3.6687940498065608,N,
47,2019S007753,02/02/2019,0:03:00,"CALL. MARIA DE MOLINA, 18",18,SALAMANCA,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,2.0,40.43767696144262,-3.6869199464675844,N,
48,2019S007855,01/02/2019,13:30:00,CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO,70,RETIRO,Alcance,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,7.0,40.41370468156283,-3.6698703018663896,N,
49,2019S007891,01/02/2019,0:15:00,CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO,14,SALAMANCA,Colisión fronto-lateral,Light rain,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,40.43407033832226,-3.6665821739670763,N,
50,2019S007920,02/02/2019,11:07:00,CALL. MARCELO USERA / CALL. MANUEL NOYA,8,USERA,Atropello a persona,Clear,Bicicleta,Conductor,De 50 a 54 años,Mujer,14.0,40.3877750247793,-3.700238876457895,N,
51,2019S007920,02/02/2019,11:07:00,CALL. MARCELO USERA / CALL. MANUEL NOYA,8,USERA,Atropello a persona,Clear,Bicicleta,Peatón,De 70 a 74 años,Mujer,7.0,40.3877750247793,-3.700238876457895,N,
52,2019S008448,06/02/2019,8:05:00,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA,2,FUENCARRAL-EL PARDO,Atropello a persona,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,40.48664273453604,-3.68420187755498,N,
53,2019S008448,06/02/2019,8:05:00,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA,2,FUENCARRAL-EL PARDO,Atropello a persona,Clear,Bicicleta,Peatón,De 15 a 17 años,Mujer,7.0,40.48664273453604,-3.68420187755498,N,
54,2019S008460,01/02/2019,1:40:00,CALL. SANTA ENGRACIA / CALL. RIOS ROSAS,128,CHAMBERÍ,Colisión fronto-lateral,Light rain,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.441723997583246,-3.701455976610995,N,
55,2019S008489,06/02/2019,10:25:00,"CALL. JUAN BRAVO, 17",17,SALAMANCA,Colisión frontal,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,40.43288779557173,-3.6816335985087845,N,
56,2019S008627,06/02/2019,17:30:00,"CALL. ALCALA, 173",173,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,,40.42657891927032,-3.672222892139286,N,
57,2019S008637,03/02/2019,17:00:00,CALL. ALTAMIRANO / PASEO. PINTOR ROSALES,52,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,40.429691545042985,-3.722003678617527,N,
58,2019S008855,06/02/2019,19:40:00,"CALL. AGUSTIN DE FOXA, 30",30,CHAMARTÍN,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,6.0,40.47008543424981,-3.6853448447725605,N,
59,2019S009001,07/02/2019,9:15:00,"CALL. PRADILLO, 42",42,CHAMARTÍN,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.44901271272461,-3.6707834963096224,N,
60,2019S009106,07/02/2019,18:50:00,CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS,123,CHAMARTÍN,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,6.0,40.44188329199473,-3.678955843265313,N,
61,2019S009136,07/02/2019,16:10:00,CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS,42,CHAMBERÍ,Alcance,,Bicicleta,Conductor,De 30 a 34 años,Hombre,,40.43494537073894,-3.7084697461643117,N,
62,2019S009150,06/02/2019,16:40:00,CALL. GRAN VIA / CALL. ALCALA,1,CENTRO,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,5.0,40.419147421883586,-3.698056640379339,N,
63,2019S009715,10/02/2019,13:45:00,"CALL. PRINCIPE DE VERGARA, 219",219,CHAMARTÍN,Colisión lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.45264296169948,-3.6777213508941062,N,
64,2019S009731,08/02/2019,22:30:00,"CALL. ALCALA, 13",13,CENTRO,Caída,Unknown,Bicicleta,Conductor,De 50 a 54 años,Mujer,7.0,40.41765551284675,-3.700650062945975,N,
65,2019S009733,10/02/2019,16:05:00,PASEO. REINA CRISTINA / CALL. ANDRES TORREJON,9,RETIRO,Colisión fronto-lateral,,Bicicleta,Conductor,De 21 a 24 años,Hombre,,40.407015145468584,-3.6826916373840533,N,
66,2019S009806,08/02/2019,21:40:00,CALL. MESON DE PAREDES / CALL. JUANELO,10,CENTRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,40.41130125617418,-3.7050656659433954,N,
67,2019S009942,11/02/2019,14:15:00,"CALL. ALCALA, 101",101,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,40.42158538464002,-3.683288380488432,N,
68,2019S009957,11/02/2019,16:13:00,"CALL. SERRANO, 8",8,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.421623446629994,-3.688277840105969,N,
69,2019S010276,02/02/2019,11:30:00,"CALL. MARTINEZ DE LA RIVA, 4",4,PUENTE DE VALLECAS,Colisión lateral,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,,40.39525266287907,-3.667736101691117,N,
70,2019S010289,11/02/2019,9:15:00,"CALL. MIGUEL ANGEL, 29",29,CHAMBERÍ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,40.437573192529065,-3.691435868599254,N,
71,2019S010293,12/02/2019,22:00:00,"PASEO. PRADO, 2",2,CENTRO,Alcance,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,40.41816078819251,-3.6941602010431014,N,
72,2019S010360,13/02/2019,14:25:00,"CALL. CONDE DE PEÑALVER, 38",38,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 55 a 59 años,Mujer,2.0,40.42916583339923,-3.675119186132765,N,
73,2019S010365,12/02/2019,19:05:00,GTA. QUEVEDO / CALL. SAN BERNARDO,1,CHAMBERÍ,Colisión lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,40.433047729798375,-3.70433860776497,N,
74,2019S010653,14/02/2019,14:20:00,"PASEO. INFANTA ISABEL, 17",17,RETIRO,Colisión lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.4068353301796,-3.6875862315945533,N,
75,2019S010716,14/02/2019,18:00:00,"AVDA. MENENDEZ PELAYO, 38",38,RETIRO,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,,40.40508944951174,-3.680599447186423,N,
76,2019S010849,14/02/2019,20:00:00,"CALL. SANTA ENGRACIA, 6",6,CHAMBERÍ,Atropello a persona,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,40.42865048708928,-3.695803918196462,N,
77,2019S010849,14/02/2019,20:00:00,"CALL. SANTA ENGRACIA, 6",6,CHAMBERÍ,Atropello a persona,Clear,Bicicleta,Peatón,De 25 a 29 años,Hombre,14.0,40.42865048708928,-3.695803918196462,N,
78,2019S010852,13/02/2019,17:30:00,CALL. SILVANO / CALL. FRANCISCO MOSQUEDA,162,HORTALEZA,Atropello a persona,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,40.46248799258451,-3.627936417722128,N,
79,2019S010852,13/02/2019,17:30:00,CALL. SILVANO / CALL. FRANCISCO MOSQUEDA,162,HORTALEZA,Atropello a persona,Clear,Bicicleta,Peatón,De 21 a 24 años,Mujer,7.0,40.46248799258451,-3.627936417722128,N,
80,2019S010855,14/02/2019,18:00:00,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA,+01400I,MORATALAZ,Alcance,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,40.410410618923635,-3.6220567676850295,N,
81,2019S010907,25/01/2019,4:00:00,"CALL. GRAN VIA, 78",78,CENTRO,Colisión fronto-lateral,Unknown,Bicicleta,Conductor,De 21 a 24 años,Hombre,5.0,40.42323764771421,-3.710268944172887,N,
82,2019S010951,15/02/2019,14:10:00,"GTA. ANGEL CAIDO, 4",4,RETIRO,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,40.40991054887378,-3.682267496507824,N,
83,2019S011089,16/02/2019,14:05:00,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES,18,CENTRO,Colisión lateral,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,,40.405391438045974,-3.701832304573902,N,
84,2019S011128,17/02/2019,9:00:00,AVDA. POBLADOS / CALL. ANTONIO ROMERO,110,CARABANCHEL,Alcance,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,3.0,40.373427226219135,-3.7325812102008733,N,
85,2019S011335,16/02/2019,17:10:00,"PASEO. CHOPERA, 2",2,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,2.0,40.396113176767486,-3.7025003412269655,N,
86,2019S011338,16/02/2019,19:55:00,"CALL. JOAQUIN TURINA, 31",31,CARABANCHEL,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,40.372294117408266,-3.7532713356225913,N,
87,2019S012142,20/02/2019,7:45:00,"CALL. ATOCHA, 104",104,CENTRO,Caída,Clear,Bicicleta,Conductor,De 15 a 17 años,Mujer,7.0,40.41035223925211,-3.6953971465631317,N,
88,2019S012186,19/02/2019,11:57:00,CALL. IGLESIAS EXTRAMUROS / AVDA. PESETA,10,LATINA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,40.3681594692452,-3.763699062619896,N,
89,2019S013090,23/02/2019,21:15:00,"PLAZA. ESPAÑA, 16",16,MONCLOA-ARAVACA,Alcance,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,6.0,40.4237063935474,-3.713223981460901,N,
90,2019S013198,23/02/2019,10:35:00,"CALL. PARROCO EUSEBIO CUENCA, 46",46,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,5.0,40.3951693774041,-3.6888149560255448,N,
91,2019S013570,25/02/2019,16:50:00,"CALL. ESPARTEROS, 12",12,CENTRO,Caída,Clear,Bicicleta,Conductor,De 30 a 34 años,Mujer,1.0,40.41563116482102,-3.705364277147212,N,
92,2019S013666,20/02/2019,10:30:00,CALL. MANCHA / AVDA. ENTREVIAS,1,PUENTE DE VALLECAS,Colisión lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,40.38132575465057,-3.668876668815037,N,
93,2019S013729,29/01/2019,16:26:00,"PASEO. RECOLETOS, 23",23,CENTRO,Caída,Light rain,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,40.42260253751039,-3.692173020816849,N,
94,2019S013751,27/02/2019,10:25:00,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA,1,RETIRO,Caída,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,6.0,40.41010830397127,-3.6871497597530896,N,
95,2019S013812,27/02/2019,18:40:00,PASEO. GENERAL MARTINEZ CAMPOS / CALL. MODESTO LAFUENTE,39,CHAMBERÍ,Alcance,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,40.435275630224254,-3.69202188528124,N,
96,2019S013863,28/02/2019,8:45:00,GTA. SINTRA / CALL. VIA DE DUBLIN,1,BARAJAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,40.47096273146438,-3.6136483213029433,N,
97,2019S013888,28/02/2019,7:30:00,"PASEO. CASTELLANA, 29",29,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,40.43071965157281,-3.6895083661039174,N,
98,2019S013972,02/03/2019,4:00:00,"PASEO. PRADO, 48",48,CENTRO,Caída,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,40.40983661527857,-3.6926715692421164,S,
99,2019S013999,01/03/2019,13:00:00,"CALL. MODESTO LAFUENTE, 61",61,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,40.44438783626313,-3.695886697282281,N,
100,2019S014004,01/03/2019,20:45:00,"PASEO. PRADO, 13",13,RETIRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,6.0,40.41095787045816,-3.692237321059199,N,
101,2019S014016,01/03/2019,12:30:00,CALL. HACIENDA DE PAVONES / CALL. BRUJAS,356,MORATALAZ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,40.39864418439097,-3.627597152986403,N,
102,2019S014113,02/03/2019,13:30:00,"PASEO. MOLINO, 1",1,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 25 a 29 años,Mujer,3.0,40.39093170048597,-3.694325555924371,N,
103,2019S014125,02/03/2019,14:50:00,CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA,69,TETUÁN,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,7.0,40.44658237814561,-3.692173807229375,N,
104,2019S014153,01/03/2019,12:10:00,"RONDA. ATOCHA, 7",7,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,14.0,40.40699018985892,-3.6948808789748937,N,
105,2019S014196,03/03/2019,23:25:00,"PLAZA. EMPERADOR CARLOS V, 1",1,CENTRO,Colisión lateral,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,40.40957740519611,-3.6926447508985505,N,
106,2019S014242,03/03/2019,20:55:00,CALL. PRINCESA / CALL. HILARION ESLAVA,70,CHAMBERÍ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Mujer,7.0,40.431732755749316,-3.71677113606342,N,
107,2019S014246,22/02/2019,20:05:00,"CALL. GENERAL RICARDOS, 18",18,CARABANCHEL,Alcance,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,2.0,40.39651800081881,-3.7184018019305904,N,
108,2019S014256,04/03/2019,16:05:00,CALL. ARROYO DE LA MEDIA LEGUA / CALL. CORREGIDOR DIEGO CABEZA DE VACA,20,MORATALAZ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 18 a 20 años,Mujer,7.0,40.40791055129692,-3.656765084069575,N,
109,2019S014263,04/03/2019,15:45:00,CALL. ALFONSO XII / CALL. MONTALBAN,10,RETIRO,Colisión lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.418355111580595,-3.6890550223581067,N,
110,2019S014289,04/03/2019,11:35:00,RETIRO,0,RETIRO,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Hombre,5.0,40.42119268481345,-3.6815323952521375,N,
111,2019S014303,04/03/2019,12:45:00,"PASEO. CASTELLANA, 92",92,CHAMARTÍN,Colisión lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Mujer,1.0,40.44324489013591,-3.6909561673075966,N,
112,2019S014327,05/03/2019,16:15:00,CALL. TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS,16,BARAJAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.45260332065372,-3.581095334342514,N,
113,2019S014416,06/03/2019,17:00:00,"CALL. ALBAIDA, 76",76,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,40.433216251005625,-3.61372795008253,N,
114,2019S014478,27/02/2019,19:45:00,CALL. MELILOTO / CALL. NOPALERA,14,LATINA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 18 a 20 años,Mujer,7.0,40.388360432332874,-3.7706397463750188,N,
